标题： ❤️「分享」生活大爆炸1-10季超清无删减 	 链接：http://tieba.baidu.com//p/5277009649 	 发帖人：娜娜吃肉肉_ 	 发帖时间：8-17 	 回复数量： 72 
标题： 不明白这剧里面的人都说anyw 	 链接：http://tieba.baidu.com//p/5285541775 	 发帖人：Wisher 	 发帖时间：8-22 	 回复数量： 2 
标题： 被诅咒的魔椅 	 链接：http://tieba.baidu.com//p/5286123608 	 发帖人：中国式半仙 	 发帖时间：10:58 	 回复数量： 0 
标题： 万圣夜前夕 	 链接：http://tieba.baidu.com//p/5286125610 	 发帖人：中国式半仙 	 发帖时间：11:00 	 回复数量： 0 
标题： 拉杰首次约会失败 	 链接：http://tieba.baidu.com//p/5286122392 	 发帖人：中国式半仙 	 发帖时间：10:58 	 回复数量： 0 
标题： 【资源分享/禁水】吧友资源分享统一管理帖 不看怪我啦???? 	 链接：http://tieba.baidu.com//p/3798854576 	 发帖人：将轨 	 发帖时间：2015-06 	 回复数量： 6799 
标题： 我讨厌给我剧透的人，但我还是激动的说不出话来 	 链接：http://tieba.baidu.com//p/5141638934 	 发帖人：VESTNT 	 发帖时间：5-31 	 回复数量： 77 
标题： 开始啦！！！生活大爆炸第十一季！！！ 	 链接：http://tieba.baidu.com//p/5266176698 	 发帖人：Explorer2n次 	 发帖时间：8-10 	 回复数量： 39 
标题： 原来新来的喜欢耳朵的女生是sh 	 链接：http://tieba.baidu.com//p/5112653966 	 发帖人：WR匿名者 	 发帖时间：5-12 	 回复数量： 13 
标题： 【二十年后】立贴聚炸粉，友谊长存。2034年3月14日晚8点挖坟可好 	 链接：http://tieba.baidu.com//p/2920928623 	 发帖人：艹野草 	 发帖时间：2014-03 	 回复数量： 3224 
标题： 嘿嘿嘿，蹭车的谢耳朵 	 链接：http://tieba.baidu.com//p/5283222996 	 发帖人：中国式半仙 	 发帖时间：8-21 	 回复数量： 5 
标题： 这翻译真是666 	 链接：http://tieba.baidu.com//p/5182859003 	 发帖人：不相遇难... 	 发帖时间：6-25 	 回复数量： 111 
标题： 这个笑话到底啥意思？ 	 链接：http://tieba.baidu.com//p/2826169199 	 发帖人：娌夐粯庐鈩 	 发帖时间：2014-01 	 回复数量： 11 
标题： 我可以闻到你黑发上点缀的荷花香 	 链接：http://tieba.baidu.com//p/5285723002 	 发帖人：中国式半仙 	 发帖时间：01:13 	 回复数量： 0 
标题： 谢耳朵普通话合集，哈哈哈哈哈哈哈 	 链接：http://tieba.baidu.com//p/5258245754 	 发帖人：中国式半仙 	 发帖时间：8-5 	 回复数量： 8 
标题： 生活大爆炸，史上第一个彩蛋。 	 链接：http://tieba.baidu.com//p/5284920269 	 发帖人：冰缘瑞雪... 	 发帖时间：8-22 	 回复数量： 0 
标题： “我们痴迷于《生活大爆炸》的十 	 链接：http://tieba.baidu.com//p/5275268591 	 发帖人：dilawurd 	 发帖时间：8-16 	 回复数量： 14 
标题： 不准你碰她 	 链接：http://tieba.baidu.com//p/5273346808 	 发帖人：中国式半仙 	 发帖时间：8-15 	 回复数量： 3 
标题： 今夜的海南岛占据了整个朋友圈 	 链接：http://tieba.baidu.com//p/5285631109?fid=1441624 	 发帖人：安然万色城 	 发帖时间：8-22 	 回复数量： 0 
标题： 终于知道为什么《生活大爆炸》会被禁播了 	 链接：http://tieba.baidu.com//p/5246989363 	 发帖人：aroceee 	 发帖时间：7-28 	 回复数量： 136 
标题： 口舌大混战 	 链接：http://tieba.baidu.com//p/5275077605 	 发帖人：中国式半仙 	 发帖时间：8-16 	 回复数量： 0 
标题： will you marry me 	 链接：http://tieba.baidu.com//p/5112931365 	 发帖人：在花果山... 	 发帖时间：5-12 	 回复数量： 26 
标题： 在家不追看美剧实在太无聊啦，破 	 链接：http://tieba.baidu.com//p/5285513487?fid=1441624 	 发帖人：胡巴巴拉 	 发帖时间：8-22 	 回复数量： 3 
标题： 谢耳朵和闪电侠的邂逅 	 链接：http://tieba.baidu.com//p/5284500557 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 0 
标题： 如果没有谢耳朵，这些人生活会怎样 	 链接：http://tieba.baidu.com//p/5237202642 	 发帖人：中国式半仙 	 发帖时间：7-22 	 回复数量： 12 
标题： 大家看这集伯纳黛特在偷看台词啊 	 链接：http://tieba.baidu.com//p/5283211803 	 发帖人：未若人间... 	 发帖时间：8-21 	 回复数量： 2 
标题： 谢耳朵版本的we will rock you有没有被惊艳到！ 	 链接：http://tieba.baidu.com//p/5227726287 	 发帖人：电视巨有料 	 发帖时间：7-17 	 回复数量： 5 
标题： 有没有人知道S10E23耳朵买的行李箱是啥牌子… 	 链接：http://tieba.baidu.com//p/5285463966 	 发帖人：未若人间... 	 发帖时间：8-22 	 回复数量： 0 
标题： 孩子他爸辛苦了 	 链接：http://tieba.baidu.com//p/5284505911 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 0 
标题： 生活大爆炸片头，每帧画面知识大扫盲 	 链接：http://tieba.baidu.com//p/1081149546 	 发帖人：安妮霍尔_ 	 发帖时间：2014-02 	 回复数量： 2662 
标题： 没有莱纳德，我估计谢耳朵一个朋友都没有的 	 链接：http://tieba.baidu.com//p/5283917001 	 发帖人：育芳园00 	 发帖时间：8-21 	 回复数量： 5 
标题： 又想唱歌的谢耳朵 	 链接：http://tieba.baidu.com//p/5284505679 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 1 
标题： 谢耳朵的助理 	 链接：http://tieba.baidu.com//p/5283665561 	 发帖人：中国式半仙 	 发帖时间：8-21 	 回复数量： 1 
标题： 10季第三集那个闪电侠好面熟 	 链接：http://tieba.baidu.com//p/5285186883 	 发帖人：哈皮匹诺... 	 发帖时间：8-22 	 回复数量： 0 
标题： 为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 链接：http://tieba.baidu.com//p/5017387510 	 发帖人：絮灵儿 	 发帖时间：3-11 	 回复数量： 25 
标题： 理性讨论，大家觉得penny对sheldon有xing趣吗？ 	 链接：http://tieba.baidu.com//p/4434124667 	 发帖人：葛亮亮 	 发帖时间：2016-03 	 回复数量： 12 
标题： 佩妮把谢耳朵弄哭了 	 链接：http://tieba.baidu.com//p/5284499802 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 0 
标题： 生活大爆炸之修火车头的谢尔顿 	 链接：http://tieba.baidu.com//p/5285066014 	 发帖人：冰缘瑞雪... 	 发帖时间：8-22 	 回复数量： 0 
标题： 科学与社会的探讨学 	 链接：http://tieba.baidu.com//p/5284472259 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 2 
标题： 拉杰出轨的节奏 	 链接：http://tieba.baidu.com//p/5278718693 	 发帖人：中国式半仙 	 发帖时间：8-18 	 回复数量： 4 
标题： 生活大爆炸之今年大家都不去漫展 	 链接：http://tieba.baidu.com//p/5284523354 	 发帖人：冰缘瑞雪... 	 发帖时间：8-22 	 回复数量： 6 
标题： 真爱是无价的 	 链接：http://tieba.baidu.com//p/5283207133 	 发帖人：中国式半仙 	 发帖时间：8-21 	 回复数量： 2 
标题： 猜一猜爆炸里各位主演的毕业院校，看一看谁的最NB. 	 链接：http://tieba.baidu.com//p/2644107976 	 发帖人：1人面桃花 	 发帖时间：2013-10 	 回复数量： 205 
标题： 刚发现😂 	 链接：http://tieba.baidu.com//p/5118933715 	 发帖人：PrettyboyRoger 	 发帖时间：5-16 	 回复数量： 22 
标题： 第十一季要开始了 	 链接：http://tieba.baidu.com//p/5269174289 	 发帖人：曼联王朝12 	 发帖时间：8-12 	 回复数量： 17 
标题： 艾米的加入是大爆炸的败笔 	 链接：http://tieba.baidu.com//p/5123543120 	 发帖人：小嶋阳菜... 	 发帖时间：5-19 	 回复数量： 404 
标题： 各位是怎么看待生活大爆炸中的不正当言论的 	 链接：http://tieba.baidu.com//p/5251585431 	 发帖人：W丶jacker 	 发帖时间：7-31 	 回复数量： 83 
标题： Sim4 自制生活大爆炸场景 	 链接：http://tieba.baidu.com//p/5168004213 	 发帖人：Mira_xxx 	 发帖时间：6-17 	 回复数量： 114 
标题： 你告诉我！你的出生年月日！我告诉你你的人格特质是什么！ 	 链接：http://tieba.baidu.com//p/5278909060?fid=1441624 	 发帖人：微商软件... 	 发帖时间：8-18 	 回复数量： 12 
标题： 弟弟不尊重我。。。 	 链接：http://tieba.baidu.com//p/5284570280?fid=1441624 	 发帖人：雨天游泳... 	 发帖时间：8-22 	 回复数量： 0 
标题： 生活大爆炸之伯尼是呆萌的小傻瓜，还是小恶魔。 	 链接：http://tieba.baidu.com//p/5284523160 	 发帖人：冰缘瑞雪... 	 发帖时间：8-22 	 回复数量： 0 
标题： 谣言又起！2017年世界末日， 	 链接：http://tieba.baidu.com//p/5284457675?fid=1441624 	 发帖人：jidm 	 发帖时间：8-22 	 回复数量： 0 
标题： 谢耳朵和艾米感情重大突破 	 链接：http://tieba.baidu.com//p/5272709461 	 发帖人：别让依靠成 	 发帖时间：8-15 	 回复数量： 4 
标题： 请问这是哪集？ 	 链接：http://tieba.baidu.com//p/5143563809 	 发帖人：拆包菜鸟 	 发帖时间：6-2 	 回复数量： 62 
标题： 让我想起了红高粱模特队 	 链接：http://tieba.baidu.com//p/5253922876 	 发帖人：去年买了... 	 发帖时间：8-2 	 回复数量： 12 
标题： 如果我是lenard，我就和她在一起了 	 链接：http://tieba.baidu.com//p/5251175938 	 发帖人：逗比咬人 	 发帖时间：7-31 	 回复数量： 8 
标题： 你们有注意到这个片头曲细节吗？ 	 链接：http://tieba.baidu.com//p/5280115955 	 发帖人：名字好易谂 	 发帖时间：8-19 	 回复数量： 8 
标题： 电一下你们   调皮的我 	 链接：http://tieba.baidu.com//p/5266448816?fid=1441624 	 发帖人：Biubiu猫猫丶 	 发帖时间：8-11 	 回复数量： 8 
标题： 分享自截生活大爆炸里一些有趣的地方 	 链接：http://tieba.baidu.com//p/4751588905 	 发帖人：千芷蓝 	 发帖时间：2016-08 	 回复数量： 222 
标题： 党政干部造假脱贫，受害贫困村民该怎么办 	 链接：http://tieba.baidu.com//p/5284187274?fid=1441624 	 发帖人：张浩然1689 	 发帖时间：8-22 	 回复数量： 1 
标题： 陈小春、林家栋、任贤齐三人合拍的这部电影——《树大招风》，无缘 	 链接：http://tieba.baidu.com//p/5284129293?fid=1441624 	 发帖人：渲染离别i... 	 发帖时间：8-22 	 回复数量： 0 
标题： 党镇干部腐败贪污扶贫款，哄骗百 	 链接：http://tieba.baidu.com//p/5284123215?fid=1441624 	 发帖人：张浩然1689 	 发帖时间：8-22 	 回复数量： 1 
标题： r=a(1－sinθ),哪位数学高手知道怎么解不，笛卡尔的爱的几何公式 	 链接：http://tieba.baidu.com//p/1266217819 	 发帖人：andromeda11 	 发帖时间：2014-02 	 回复数量： 43 
标题： 拉杰和霍华德 	 链接：http://tieba.baidu.com//p/5281205742 	 发帖人：中国式半仙 	 发帖时间：8-20 	 回复数量： 3 
标题： 生活大爆炸中那些确实让我笑尿的表情。 	 链接：http://tieba.baidu.com//p/3621406259 	 发帖人：神仙み 	 发帖时间：2015-03 	 回复数量： 375 
标题： 爸爸留给霍华德的信 	 链接：http://tieba.baidu.com//p/5281832614 	 发帖人：中国式半仙 	 发帖时间：8-20 	 回复数量： 5 
标题： 求问这两盏灯在哪买！就是图上右 	 链接：http://tieba.baidu.com//p/5282277162 	 发帖人：打柴的狐狸 	 发帖时间：8-20 	 回复数量： 17 
标题： 《生活大爆炸》S10：最好的爱情，就是让人情不自禁（多图长文！ 	 链接：http://tieba.baidu.com//p/5114890595 	 发帖人：opllx的影子 	 发帖时间：5-13 	 回复数量： 43 
标题： 生活大爆炸第十一季 	 链接：http://tieba.baidu.com//p/5267446904 	 发帖人：爱民谣的c... 	 发帖时间：8-11 	 回复数量： 18 
标题： 【生活大爆炸】当女朋友扮成公主，只有谢耳朵最淡定！！！ 	 链接：http://tieba.baidu.com//p/5272513655 	 发帖人：毕竟会玩 	 发帖时间：8-15 	 回复数量： 1 
标题： 难得一见！马云唱戏曲 	 链接：http://tieba.baidu.com//p/5283588765?fid=1441624 	 发帖人：微商软件... 	 发帖时间：8-21 	 回复数量： 0 
标题： 不忍直视！发现了约翰尼盖尔克奇在97年憨豆先生里面跑龙套镜头 	 链接：http://tieba.baidu.com//p/5255211102 	 发帖人：animal_110 	 发帖时间：8-3 	 回复数量： 11 
标题： 有小天使发一下penny第一季 	 链接：http://tieba.baidu.com//p/5283314986 	 发帖人：飞天小双双 	 发帖时间：8-21 	 回复数量： 7 
标题： s02e06有人知道这是谁吗 	 链接：http://tieba.baidu.com//p/5283423587 	 发帖人：文似看山 	 发帖时间：8-21 	 回复数量： 2 
标题： 这是第几季第几集啊。。。。 	 链接：http://tieba.baidu.com//p/5273968458 	 发帖人：Monster_浅安 	 发帖时间：8-15 	 回复数量： 5 
标题： 你好 	 链接：http://tieba.baidu.com//p/5283347990 	 发帖人：堕落的小... 	 发帖时间：8-21 	 回复数量： 0 
标题： 为什么好多人说老友记次生活大爆炸好 	 链接：http://tieba.baidu.com//p/4428698287 	 发帖人：小二狗888 	 发帖时间：2016-03 	 回复数量： 109 
标题： TBBT你最喜欢的一幕 	 链接：http://tieba.baidu.com//p/4022489428 	 发帖人：髣髴烟雨 	 发帖时间：2015-09 	 回复数量： 664 
标题： 生活大爆炸中的不眠之夜 	 链接：http://tieba.baidu.com//p/5276764251 	 发帖人：冰缘瑞雪... 	 发帖时间：8-17 	 回复数量： 3 
标题： 【手绘】原创生活大爆炸漫画　　　·＼。· 	 链接：http://tieba.baidu.com//p/1798651351 	 发帖人：犊品44 	 发帖时间：2012-08 	 回复数量： 35 
标题： 谢耳朵15分钟开瓶盖 	 链接：http://tieba.baidu.com//p/5283188818 	 发帖人：中国式半仙 	 发帖时间：8-21 	 回复数量： 0 
标题： s11已经在拍了么。。 	 链接：http://tieba.baidu.com//p/5282674316 	 发帖人：上小学的... 	 发帖时间：8-21 	 回复数量： 1 
标题： 生活大爆炸之地质学不是真正的科学。 	 链接：http://tieba.baidu.com//p/5276762416 	 发帖人：冰缘瑞雪... 	 发帖时间：8-17 	 回复数量： 0 
标题： 乒乓球大战 	 链接：http://tieba.baidu.com//p/5275057910 	 发帖人：中国式半仙 	 发帖时间：8-16 	 回复数量： 1 
标题： 二次减肥，使用奶昔减了22斤了 	 链接：http://tieba.baidu.com//p/5282743195?fid=1441624 	 发帖人：康宝莱奶... 	 发帖时间：8-21 	 回复数量： 0 
标题： 客串一回…… 	 链接：http://tieba.baidu.com//p/5116951810 	 发帖人：woaisy2010 	 发帖时间：5-15 	 回复数量： 14 
标题： jim pasons 	 链接：http://tieba.baidu.com//p/5251275240 	 发帖人：淡芸浓萦ff 	 发帖时间：7-31 	 回复数量： 0 
标题： 本人男 ，记忆中大概10岁以后 	 链接：http://tieba.baidu.com//p/5282691187 	 发帖人：太执着而... 	 发帖时间：8-21 	 回复数量： 0 
标题： 大爆炸的生活——我需要全面记录 	 链接：http://tieba.baidu.com//p/5279369890 	 发帖人：I阳光的... 	 发帖时间：8-19 	 回复数量： 3 
标题： 生活大爆炸片段 闺蜜们讨论佩妮被莱纳德邀请约会 	 链接：http://tieba.baidu.com//p/5276039849 	 发帖人：毕竟会玩 	 发帖时间：8-17 	 回复数量： 3 
标题： 生活大爆炸中谢耳朵又卡壳了 	 链接：http://tieba.baidu.com//p/5278111597 	 发帖人：冰缘瑞雪... 	 发帖时间：8-18 	 回复数量： 4 
标题： 【图文】让我来深扒一下谢尔顿和夏洛克的相同点与不同点 	 链接：http://tieba.baidu.com//p/2809121611 	 发帖人：张雅岚吱吱 	 发帖时间：2014-03 	 回复数量： 1638 
标题： 霍华德进婴儿房的方法 	 链接：http://tieba.baidu.com//p/5280244806 	 发帖人：中国式半仙 	 发帖时间：8-19 	 回复数量： 0 
标题： 对于我下午放的两个视屏的解答 外加两个视屏增强对静电理解 	 链接：http://tieba.baidu.com//p/945351326 	 发帖人：NECST 	 发帖时间：2011-04 	 回复数量： 52 
标题： 莱纳和艾米独处 	 链接：http://tieba.baidu.com//p/5278800086 	 发帖人：中国式半仙 	 发帖时间：8-18 	 回复数量： 1 
标题： 【TBBT】生活大爆炸S04E10cut-1 “Hoo~” 	 链接：http://tieba.baidu.com//p/5255148528 	 发帖人：毕竟会玩 	 发帖时间：8-3 	 回复数量： 2 
标题： 霍华德父亲的信之猜想 	 链接：http://tieba.baidu.com//p/3266196705 	 发帖人：镜音残焰 	 发帖时间：2014-08 	 回复数量： 33 
标题： 【官方资源】最新资源和早期资源；找资源看这里就对了 	 链接：http://tieba.baidu.com//p/3330341157 	 发帖人：将轨 	 发帖时间：2014-10 	 回复数量： 5377 
标题： 霍华德太空生活的开始 	 链接：http://tieba.baidu.com//p/5278934403 	 发帖人：中国式半仙 	 发帖时间：8-18 	 回复数量： 1 
标题： 大佬，这是哪一集呀 	 链接：http://tieba.baidu.com//p/5268349089 	 发帖人：千年基... 	 发帖时间：8-12 	 回复数量： 6 
标题： 拉杰首次约会失败 	 链接：http://tieba.baidu.com//p/5281844154 	 发帖人：中国式半仙 	 发帖时间：8-20 	 回复数量： 0 
标题： 谢耳朵吃莱纳醋了 	 链接：http://tieba.baidu.com//p/5278800725 	 发帖人：中国式半仙 	 发帖时间：8-18 	 回复数量： 3 
标题： 拉杰和霍华德 	 链接：http://tieba.baidu.com//p/5281232958 	 发帖人：中国式半仙 	 发帖时间：8-20 	 回复数量： 1 
标题： 吃货ing   下雨天家里有饭 	 链接：http://tieba.baidu.com//p/5280118768?fid=1441624 	 发帖人：Jia佳 	 发帖时间：8-19 	 回复数量： 4 
标题： 这不是演Bert的那位，真是个喜剧的料 	 链接：http://tieba.baidu.com//p/5269092885 	 发帖人：皇家联合... 	 发帖时间：8-12 	 回复数量： 9 
标题： 生活大爆炸有没有特别特别好看的一集啊 	 链接：http://tieba.baidu.com//p/2850755324 	 发帖人：爱狗狗四点 	 发帖时间：2014-02 	 回复数量： 79 
标题： 大家有没有生活大爆炸角色里的表 	 链接：http://tieba.baidu.com//p/5235110205 	 发帖人：ucuaiimoukoi 	 发帖时间：7-21 	 回复数量： 7 
标题： 谢耳朵忠实铁粉 	 链接：http://tieba.baidu.com//p/5270777117 	 发帖人：无果的伞... 	 发帖时间：8-13 	 回复数量： 10 
标题： 真爱是无价的 	 链接：http://tieba.baidu.com//p/5281232923 	 发帖人：中国式半仙 	 发帖时间：8-20 	 回复数量： 0 
标题： 【生活大爆炸】艾米要逼死强迫症啊啊啊 	 链接：http://tieba.baidu.com//p/5276029033 	 发帖人：毕竟会玩 	 发帖时间：8-17 	 回复数量： 3 
标题： 艾米是大学里最酷的女孩 	 链接：http://tieba.baidu.com//p/5279501927 	 发帖人：中国式半仙 	 发帖时间：8-19 	 回复数量： 3 
标题： 我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5281129389?fid=1441624 	 发帖人：康宝莱奶... 	 发帖时间：8-20 	 回复数量： 0 
标题： 这一年来让我深思有感，当人受难 	 链接：http://tieba.baidu.com//p/5281128290?fid=1441624 	 发帖人：康宝莱奶... 	 发帖时间：8-20 	 回复数量： 0 
标题： 首付一成 发现美院 	 链接：http://tieba.baidu.com//p/5256178664?fid=1441624 	 发帖人：王者归来r... 	 发帖时间：8-3 	 回复数量： 3 
标题： 第十一季开拍了坐等开播 	 链接：http://tieba.baidu.com//p/5274459778 	 发帖人：航航出状... 	 发帖时间：8-16 	 回复数量： 24 
标题： 为什么他们经常在酒吧喝完酒以后还开车 	 链接：http://tieba.baidu.com//p/5117670222 	 发帖人：光大4062 	 发帖时间：5-15 	 回复数量： 11 
标题： 咚咚咚，谢尔顿，谢尔顿，谢尔顿 	 链接：http://tieba.baidu.com//p/5271539743 	 发帖人：别让依靠成 	 发帖时间：8-14 	 回复数量： 6 
标题： 想要伯纳黛特坐在熊里面的高清截图 	 链接：http://tieba.baidu.com//p/4871570045 	 发帖人：玩白手的... 	 发帖时间：2016-11 	 回复数量： 11 
标题： 这是哪一集啊 	 链接：http://tieba.baidu.com//p/5267817417 	 发帖人：就是的确... 	 发帖时间：8-11 	 回复数量： 9 
标题： 请问资阳市雁江区刘家庙的自来水管理员们，这水你们能喝下吗？ 	 链接：http://tieba.baidu.com//p/5278937684 	 发帖人：sunny胖果 	 发帖时间：8-18 	 回复数量： 2 
标题： 求问大佬这张图，聚餐，是哪一集 	 链接：http://tieba.baidu.com//p/5271089710 	 发帖人：请叫我天... 	 发帖时间：8-14 	 回复数量： 7 
标题： 【提问】求问一下 penny要去社区大学上课的是哪一季哪几集啊 	 链接：http://tieba.baidu.com//p/5280374012 	 发帖人：雷狮的星... 	 发帖时间：8-19 	 回复数量： 0 
标题： 你不知道的谢耳朵 	 链接：http://tieba.baidu.com//p/5228380626 	 发帖人：中国式半仙 	 发帖时间：7-17 	 回复数量： 2 
标题： 【TBBT】生活大爆炸吧，提问（辩论）专用贴 	 链接：http://tieba.baidu.com//p/3982455353 	 发帖人：将轨 	 发帖时间：2015-08 	 回复数量： 715 
标题： 今天看了0集！ 	 链接：http://tieba.baidu.com//p/4360561941 	 发帖人：繁华沙漠... 	 发帖时间：2016-02 	 回复数量： 303 
标题： 今天回顾了第一季，才发现pen 	 链接：http://tieba.baidu.com//p/5278441215 	 发帖人：渐行渐远... 	 发帖时间：8-18 	 回复数量： 9 
标题： 谢耳朵网征女友 	 链接：http://tieba.baidu.com//p/5275046319 	 发帖人：中国式半仙 	 发帖时间：8-16 	 回复数量： 3 
标题： 求大神指教 	 链接：http://tieba.baidu.com//p/5280112648 	 发帖人：daygreysky 	 发帖时间：8-19 	 回复数量： 0 
标题： 只要给我钱，我什么都愿意干 	 链接：http://tieba.baidu.com//p/5275041947 	 发帖人：zha疯了 	 发帖时间：8-16 	 回复数量： 2 
标题： 佩妮，你知道什么叫勒索吗？ 	 链接：http://tieba.baidu.com//p/5279501942 	 发帖人：中国式半仙 	 发帖时间：8-19 	 回复数量： 0 
